YEAR,MONTH_NUM,MONTH_MON,APT_NAME,STATE_NAME,FLT_ARR_1,DLY_APT_1,FLT_ARR_1_DLY,FLT_ARR_1_DLY_15,DLY_APT_ARR_C_1,DLY_APT_ARR_R_1,DLY_APT_ARR_S_1
2016,12.00,DEC,Lorient-Lann Bihouí©,France,6.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Deauville-Normandie,France,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Dinard-Pleurtuit-Saint-Malo,France,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Brest-Bretagne,France,19.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Lille-Lesquin,France,19.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Paris-Orly,France,298.00,1500.00,48.00,32.00,0.00,0.00,0.00
2016,12.00,DEC,Toussus-le-Noble,France,11.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Paris-Charles-de-Gaulle,France,640.00,2207.00,116.00,51.00,0.00,0.00,0.00
2016,12.00,DEC,Paris-Le Bourget,France,34.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Tours-Val de Loire,France,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Chí¢lons-Vatry,France,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Le Havre-Octeville,France,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Beauvais-Tillí©,France,25.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Avignon-Caumont,France,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Bí©ziers-Vias,France,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Montpellier-Mí©diterraní©e,France,22.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Perpignan-Rivesaltes,France,8.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Nice-CíÇte däó»Azur,France,144.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Marseille-Provence,France,114.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Carcassonne-Salvaza,France,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Istres-Le Tubí©,France,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Saint-Etienne-Bouthí©on,France,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Cannes-Mandelieu,France,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Lyon-Bron,France,9.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Chí¢teauroux-Dí©ols,France,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Grenoble-IsíÂre,France,6.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Annecy-Meythet,France,7.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Lyon-Saint-Exupí©ry,France,113.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Clermont-Ferrand-Auvergne,France,8.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Chambí©ry-Aix-les-Bains,France,21.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Ajaccio-Napolí©on-Bonaparte,France,15.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Figari-Sud Corse,France,6.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Calvi-Sainte-Catherine,France,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Bastia-Poretta,France,14.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Angers-Marcí©,France,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,DíÇle-Tavaux,France,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Rodez-Marcillac,France,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Biarritz-Bayonne-Anglet,France,15.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Tarbes-Lourdes Pyrí©ní©es,France,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Pau-Pyrí©ní©es,France,9.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Toulouse-Blagnac,France,96.00,372.00,16.00,10.00,0.00,0.00,0.00
2016,12.00,DEC,Limoges-Bellegarde,France,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Poitiers-Biard,France,3.00,0.00,0.00,0.00,0.00,0.00,0.00
